"price","cut","carat"
326,"Ideal",0.23
326,"Premium",0.21
327,"Good",0.23
334,"Premium",0.29
335,"Good",0.31
336,"Very Good",0.24
336,"Very Good",0.24
337,"Very Good",0.26
337,"Fair",0.22
338,"Very Good",0.23
339,"Good",0.3
340,"Ideal",0.23
342,"Premium",0.22
344,"Ideal",0.31
345,"Premium",0.2
345,"Premium",0.32
348,"Ideal",0.3
351,"Good",0.3
351,"Good",0.3
351,"Very Good",0.3
351,"Good",0.3
352,"Very Good",0.23
353,"Very Good",0.23
353,"Very Good",0.31
353,"Very Good",0.31
354,"Very Good",0.23
355,"Premium",0.24
357,"Very Good",0.3
357,"Very Good",0.23
357,"Very Good",0.23
402,"Very Good",0.23
402,"Very Good",0.23
402,"Very Good",0.23
402,"Very Good",0.23
402,"Very Good",0.23
402,"Good",0.23
402,"Good",0.23
402,"Good",0.31
403,"Very Good",0.26
403,"Ideal",0.33
403,"Ideal",0.33
403,"Ideal",0.33
403,"Good",0.26
403,"Good",0.26
403,"Good",0.32
403,"Premium",0.29
403,"Very Good",0.32
403,"Good",0.32
404,"Very Good",0.25
404,"Very Good",0.29
404,"Very Good",0.24
404,"Ideal",0.23
404,"Ideal",0.32
404,"Premium",0.22
404,"Premium",0.22
405,"Ideal",0.3
405,"Premium",0.3
405,"Very Good",0.3
405,"Very Good",0.3
405,"Good",0.3
552,"Ideal",0.35
552,"Premium",0.3
552,"Ideal",0.3
552,"Ideal",0.3
552,"Premium",0.42
553,"Ideal",0.28
553,"Ideal",0.32
553,"Very Good",0.31
553,"Premium",0.31
553,"Premium",0.24
553,"Very Good",0.24
554,"Very Good",0.3
554,"Premium",0.3
554,"Premium",0.3
554,"Good",0.3
554,"Very Good",0.26
554,"Very Good",0.26
554,"Very Good",0.26
554,"Very Good",0.26
554,"Very Good",0.26
554,"Very Good",0.26
554,"Very Good",0.26
554,"Ideal",0.26
554,"Ideal",0.38
554,"Good",0.26
554,"Premium",0.24
554,"Premium",0.24
554,"Premium",0.24
554,"Premium",0.24
554,"Premium",0.32
2757,"Ideal",0.7
2757,"Fair",0.86
2757,"Ideal",0.7
2759,"Very Good",0.71
2759,"Very Good",0.78
2759,"Good",0.7
2759,"Good",0.7
2759,"Fair",0.96
2760,"Very Good",0.73
2760,"Premium",0.8
2760,"Very Good",0.75
2760,"Premium",0.75
2760,"Ideal",0.74
2760,"Premium",0.75
2760,"Ideal",0.8
2760,"Ideal",0.75
2760,"Premium",0.8
2761,"Ideal",0.74
2761,"Ideal",0.81
2761,"Ideal",0.59
2761,"Ideal",0.8
2761,"Ideal",0.74
2761,"Premium",0.9
2762,"Very Good",0.74
2762,"Ideal",0.73
2762,"Ideal",0.73
2762,"Premium",0.8
2762,"Ideal",0.71
2762,"Ideal",0.7
2762,"Ideal",0.8
2762,"Ideal",0.71
2762,"Ideal",0.74
2762,"Very Good",0.7
2762,"Fair",0.7
2762,"Fair",0.7
2762,"Premium",0.7
2763,"Premium",0.91
2763,"Very Good",0.61
2763,"Fair",0.91
2763,"Fair",0.91
2763,"Ideal",0.77
2764,"Very Good",0.71
2764,"Ideal",0.71
2765,"Very Good",0.7
2765,"Very Good",0.77
2765,"Premium",0.63
2765,"Very Good",0.71
2765,"Premium",0.71
2765,"Ideal",0.76
2766,"Ideal",0.64
2766,"Premium",0.71
2766,"Premium",0.71
2767,"Very Good",0.7
2767,"Very Good",0.7
2767,"Ideal",0.71
2767,"Good",0.7
2768,"Very Good",0.71
2768,"Very Good",0.73
2768,"Very Good",0.7
2768,"Ideal",0.7
2768,"Premium",0.71
2769,"Ideal",0.74
2770,"Premium",0.71
2770,"Premium",0.73
2770,"Very Good",0.76
2770,"Ideal",0.76
2770,"Ideal",0.71
2770,"Premium",0.73
2770,"Premium",0.73
2770,"Ideal",0.73
2770,"Premium",0.73
2771,"Very Good",0.72
2771,"Very Good",0.73
2771,"Ideal",0.71
2771,"Ideal",0.79
2772,"Very Good",0.73
2772,"Very Good",0.8
2772,"Ideal",0.58
2772,"Ideal",0.58
2772,"Good",0.71
2773,"Ideal",0.75
2773,"Premium",0.7
2774,"Very Good",1.17
2774,"Ideal",0.6
2774,"Ideal",0.7
2774,"Good",0.83
2775,"Very Good",0.74
2776,"Very Good",0.72
2776,"Premium",0.71
2776,"Ideal",0.71
2776,"Ideal",0.54
2776,"Ideal",0.54
2776,"Ideal",0.72
2776,"Ideal",0.72
2776,"Good",0.72
2776,"Ideal",0.71
2777,"Very Good",0.7
2777,"Premium",0.71
2777,"Very Good",0.71
2777,"Good",0.71
2777,"Good",0.71
2777,"Ideal",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Ideal",0.7
2777,"Premium",0.72
2777,"Very Good",0.7
2777,"Premium",0.7
2777,"Premium",0.7
2777,"Good",0.7
2777,"Fair",0.98
2777,"Premium",0.78
2777,"Very Good",0.7
2778,"Ideal",0.52
2779,"Very Good",0.73
2779,"Ideal",0.74
2780,"Very Good",0.7
2780,"Premium",0.77
2780,"Ideal",0.71
2780,"Ideal",0.74
2780,"Ideal",0.7
2781,"Premium",1.01
2781,"Ideal",0.77
